market_name,zip_code
Wichita-Hutchinson,66860
Wichita-Hutchinson,66861
Wichita-Hutchinson,66862
Wichita-Hutchinson,66863
Wichita-Hutchinson,66866
Birmingham-Ann-Tuscaloosa,35120
Birmingham-Ann-Tuscaloosa,35121
Birmingham-Ann-Tuscaloosa,35123
Birmingham-Ann-Tuscaloosa,35124
Birmingham-Ann-Tuscaloosa,35125
Baltimore,21017
Baltimore,21018
Baltimore,21020
Baltimore,21022
Baltimore,21023
Baltimore,21027
Baltimore,21028
Baltimore,21029
Boston-Manchester,01506
Boston-Manchester,01507
Boston-Manchester,01508
Boston-Manchester,01509
Boston-Manchester,01510
Boston-Manchester,01515
Watertown,12914
West Palm Beach-Ft. Pierce,32948
Wheeling-Steubenville,26003
Wichita Falls-Lawton,73527
Wichita Falls-Lawton,73528
Wichita Falls-Lawton,73529
Wichita Falls-Lawton,73530
Wichita Falls-Lawton,73531
Wausau-Rhinelander,53910
Puerto Rico,00612
Puerto Rico,00613
Puerto Rico,00614
Baton Rouge,70783
Baton Rouge,70784
Baton Rouge,70785
Baton Rouge,70786
Binghamton,13763
Binghamton,13774
Binghamton,13775
Binghamton,13777
Binghamton,13778
Binghamton,13780
Binghamton,13782
Wilkes Barre-Scranton,16947
Wilkes Barre-Scranton,17017
Wilkes Barre-Scranton,17086
Wilkes Barre-Scranton,17701
Wilkes Barre-Scranton,17702
Wilkes Barre-Scranton,17703
Boise,83704
Boise,83705
Boise,83706
Boise,83707
Boise,83708
Boise,83709
Boise,83711
Boise,83712
Boise,83713
Boise,83714
Youngstown,16141
Youngstown,16142
Youngstown,16143
Youngstown,16145
Youngstown,16146
Youngstown,16148
Youngstown,16150
Wilmington,28405
Wilmington,28406
Wilmington,28407
Wilmington,28408
Wilmington,28409
Wilmington,28410
Wilmington,28411
Wilmington,28412
Wilmington,28420
Wilmington,28421
Wilmington,28422
Wilmington,28423
Wilmington,28424
Wilmington,28425
Wilmington,28428
Wilmington,28429
Austin,78628
Austin,78630
Austin,78631
Austin,78632
Austin,78633
Austin,78634
Austin,78635
Austin,78636
Austin,78639
Austin,78640
Austin,78641
Austin,78642
Austin,78643
Buffalo,14052
Buffalo,14054
Yuma-El Centro,85346
Bluefield-Beckley-Oak Hill,24859
Bluefield-Beckley-Oak Hill,24860
Augusta,29838
Bangor,04438
Bangor,04441
Bangor,04442
Yakima-Pasco-Richland-Kennewick,98901
Yakima-Pasco-Richland-Kennewick,98902
Wichita-Hutchinson,66869
Wichita-Hutchinson,66870
Birmingham-Ann-Tuscaloosa,35126
Birmingham-Ann-Tuscaloosa,35127
