description,file_urls,city_name,year,files
Download College of the Canyons payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/college-canyons-2013.csv,College of the Canyons,2013,"[{'checksum': 'd513b84ee8d5abbba19ce41a4a50a30a', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-canyons-2013.csv', 'path': 'full/2aba755acfe802bc4e6acedb59d882c89b2fd9d5.csv'}]"
Download College of the Canyons payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/college-canyons-2012.csv,College of the Canyons,2012,"[{'checksum': '485877bea32d22fe6f99571d099313b3', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-canyons-2012.csv', 'path': 'full/59e11035c9ca407ccb64c39af50bfba2a5b54f78.csv'}]"
Download College of the Sequoias payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/college-sequoias-2012.csv,College of the Sequoias,2012,"[{'checksum': '784c248be5edff266dad92599700a948', 'url': 'https://transcal.s3.amazonaws.com/public/export/college-sequoias-2012.csv', 'path': 'full/54b4582558485071092bc25d577bfbd65bc9d6fb.csv'}]"
Download Coast Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/coast-district-2014.csv,Coast Community College District,2014,"[{'checksum': 'bff9045006d62491adb4e0cbacf95b5f', 'url': 'https://transcal.s3.amazonaws.com/public/export/coast-district-2014.csv', 'path': 'full/8f690e77977c78c3ab7d3c9035dc79a680d752be.csv'}]"
Download Coast Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/coast-district-2012.csv,Coast Community College District,2012,"[{'checksum': '8afed05c7471918da85975cc2a128e4e', 'url': 'https://transcal.s3.amazonaws.com/public/export/coast-district-2012.csv', 'path': 'full/36b73086d4a2069fa130098126e747ae5585638a.csv'}]"
Download Yuba Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2013.csv,Yuba Community College District,2013,"[{'checksum': '97407a4d305ddab4f3383a32a11fee51', 'url': 'https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2013.csv', 'path': 'full/d6fa080ec4f7699b45ab7aedca2cd4dfbb0a5698.csv'}]"
Download Yuba Community College District payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2014.csv,Yuba Community College District,2014,"[{'checksum': 'cde7b6d01475caae66a5ab6cf300ea7c', 'url': 'https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2014.csv', 'path': 'full/ab4d49220962665d0a58b94f5b3c93d3058ebd6a.csv'}]"
Download Coast Community College District payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/coast-district-2013.csv,Coast Community College District,2013,"[{'checksum': 'e812addac0239f7cc9ce7826e2a74e7a', 'url': 'https://transcal.s3.amazonaws.com/public/export/coast-district-2013.csv', 'path': 'full/cf7c6065c40609216d7f7c68073505d46e35d7ad.csv'}]"
Download Yuba Community College District payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2012.csv,Yuba Community College District,2012,"[{'checksum': 'fff5da44c6406e656d161711b3ffec34', 'url': 'https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2012.csv', 'path': 'full/625862dc5b2bc3a016b68af2d2619fbf7840344e.csv'}]"
Download Yuba Community College District payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2016.csv,Yuba Community College District,2016,"[{'checksum': '75f004a07250536880e258ac87988dd4', 'url': 'https://transcal.s3.amazonaws.com/public/export/yuba-community-college-district-2016.csv', 'path': 'full/9ee43cf115902283b5fb8a1b721e3ee42ad13eab.csv'}]"
