city_name,year,description,file_urls,files
Napa County,2014,Download Napa County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/napa-county-2014.csv,"[{'checksum': '3b2a07aab05a1ee8e9989c32c6374945', 'url': 'https://transcal.s3.amazonaws.com/public/export/napa-county-2014.csv', 'path': 'full/6b736a46b773cb4c0eae458d7b4bc31648bbcd99.csv'}]"
Madera County,2016,Download Madera County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/madera-county-2016.csv,"[{'checksum': '25311a180c22d41cbbfeec57696697e5', 'url': 'https://transcal.s3.amazonaws.com/public/export/madera-county-2016.csv', 'path': 'full/2ea5bbc25cd235b6a4dd7a74ac890e49311b461c.csv'}]"
Mariposa County,2012,Download Mariposa County payroll data for 2012,https://transcal.s3.amazonaws.com/public/export/mariposa-county-2012.csv,"[{'checksum': '439472c50fed086c427122927748f41a', 'url': 'https://transcal.s3.amazonaws.com/public/export/mariposa-county-2012.csv', 'path': 'full/d8af79f54405c6d9998419ae897bd864af1790d2.csv'}]"
Madera County,2014,Download Madera County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/madera-county-2014.csv,"[{'checksum': '1b7e38f9b6ad860e295cb1bf3acd2a04', 'url': 'https://transcal.s3.amazonaws.com/public/export/madera-county-2014.csv', 'path': 'full/0717fa46f26400eae1f7fb07c715c4219e44e429.csv'}]"
Lassen County,2016,Download Lassen County payroll data for 2016,https://transcal.s3.amazonaws.com/public/export/lassen-county-2016.csv,"[{'checksum': '66f65a1c1f49f2282dbe59949d7d7306', 'url': 'https://transcal.s3.amazonaws.com/public/export/lassen-county-2016.csv', 'path': 'full/3073aa2aa0f38eae341df0c9b00c83d7cf29aa9f.csv'}]"
Lassen County,2014,Download Lassen County payroll data for 2014,https://transcal.s3.amazonaws.com/public/export/lassen-county-2014.csv,"[{'checksum': '67b73e474b38394d2390a93eb2048a55', 'url': 'https://transcal.s3.amazonaws.com/public/export/lassen-county-2014.csv', 'path': 'full/28862f8ee1be243d18c9cf7b64b1c575275720df.csv'}]"
Madera County,2013,Download Madera County payroll data for 2013,https://transcal.s3.amazonaws.com/public/export/madera-county-2013.csv,"[{'checksum': '1eed7aabceabbd65db488b0776d04c0b', 'url': 'https://transcal.s3.amazonaws.com/public/export/madera-county-2013.csv', 'path': 'full/bdf51449c27f85d110c1e649631a9a73d698aa12.csv'}]"
Lassen County,2015,Download Lassen County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/lassen-county-2015.csv,"[{'checksum': 'd20c50f271882db0f44e17c6a363ce34', 'url': 'https://transcal.s3.amazonaws.com/public/export/lassen-county-2015.csv', 'path': 'full/dd2dc61f3f9748c7908597693cd57c84146fa347.csv'}]"
Madera County,2011,Download Madera County payroll data for 2011,https://transcal.s3.amazonaws.com/public/export/madera-county-2011.csv,"[{'checksum': '3c838718d2a76246dc641b8b15c5601a', 'url': 'https://transcal.s3.amazonaws.com/public/export/madera-county-2011.csv', 'path': 'full/4b630661410eecdafa52499b49db965c26d09dfb.csv'}]"
Madera County,2015,Download Madera County payroll data for 2015,https://transcal.s3.amazonaws.com/public/export/madera-county-2015.csv,"[{'checksum': '96f212a979363aa84efdc59d19bf9164', 'url': 'https://transcal.s3.amazonaws.com/public/export/madera-county-2015.csv', 'path': 'full/6bda3ff04167edfef9098fa69aec8a2fedcf84fa.csv'}]"
